subject,type,label,n_trials,cnv_mean_uV@Cz,p3_mean_uV@Cz,cnv_gfp_uV,p3_gfp_uV
FP_03,condition,short,317,-6.850941969257655e-10,39.779742334294,7.086366771415706,301.8403513101498
FP_03,condition,long,323,-1.0942710390635778e-09,34.90706745304452,6.477516602690637,271.6750911875427
FP_03,condition,surprise,71,1.1930078103843958e-09,38.3064087209712,8.74776587653876,298.48544435316063
FP_03,sequence,long_long,156,-1.6653695421237306e-09,35.25133596526059,7.94841113871067,272.3244911294406
FP_03,sequence,short_short,149,4.099451712627286e-10,40.21397923122583,7.3661194937195,307.3729528353191
FP_03,sequence,long_short,139,-1.6606006061471756e-09,38.60507558932297,8.786206165472356,290.5316870997945
FP_03,sequence,short_long,134,-8.492051529178639e-10,33.43669628953923,6.986059783111846,264.29284254758846
FP_03,sequence,short_surprise,35,7.570850889590259e-10,40.90137211985681,10.482781982605854,317.90214462279494
FP_03,sequence,surprise_long,33,6.10352571594099e-10,39.25021436225668,11.303278792244475,299.0688030715677
FP_03,sequence,surprise_short,29,-1.6356265007962682e-09,43.17896233112605,11.813425203139712,328.0029313643646
FP_03,sequence,long_surprise,28,-2.2632712086898836e-10,36.6167646997246,10.806337926739806,286.8907071488585
FP_03,sequence,surprise_surprise,8,8.067842157809427e-09,32.867197925209716,20.673668161268374,258.52631725183545
Foreperiod_Jmlah,condition,short,305,-6.971016905354942e-10,20.580734343495013,17.39269733307269,179.27285715204664
Foreperiod_Jmlah,condition,long,309,1.1510374352765141e-09,25.98530322051916,17.524375559870634,241.79734102193098
Foreperiod_Jmlah,condition,surprise,65,-3.2045191761617956e-09,27.886962127153044,18.628757624234066,242.0926836346275
Foreperiod_Jmlah,sequence,long_long,145,4.5615480991997285e-10,24.37514652136843,17.68768935385668,229.33689997461832
Foreperiod_Jmlah,sequence,short_long,140,1.5429328653782962e-09,27.396596563611297,17.682137031849493,251.48229955775503
Foreperiod_Jmlah,sequence,long_short,140,-2.2395244540795476e-09,15.842609443775144,17.446410073527975,142.49017634874193
Foreperiod_Jmlah,sequence,short_short,130,-9.238683058118024e-10,23.979385846846785,18.0735688754141,209.31715416270706
Foreperiod_Jmlah,sequence,short_surprise,35,-1.0239700347798688e-08,28.273299263613637,21.501723350715505,235.59977329090282
Foreperiod_Jmlah,sequence,surprise_short,35,6.314865113555553e-09,26.90967121563933,19.271719308228274,233.18074546883858
Foreperiod_Jmlah,sequence,surprise_long,24,3.0632289900983586e-09,27.480788776517365,19.32084129611812,260.82645503902637
Foreperiod_Jmlah,sequence,long_surprise,24,6.097985707279143e-09,25.92772123284045,19.75405060379706,235.9564742030149
Foreperiod_Jmlah,sequence,surprise_surprise,6,6.240191713628887e-10,33.47029240838336,25.242117747037604,305.74803633765214
Foreperiod_Sub2,condition,short,324,-2.925001939611748e-10,74.52129077862716,9.269975538611023,586.0715416623167
Foreperiod_Sub2,condition,long,310,4.3576847052787275e-10,75.56289624313298,9.44557407013331,592.3269709137004
Foreperiod_Sub2,condition,surprise,74,-1.6565353768794637e-09,80.73327314169038,10.997562999617323,626.600553807261
Foreperiod_Sub2,sequence,long_short,150,1.1587757795353802e-10,68.33758841237972,9.571938800624608,532.3150078707179
Foreperiod_Sub2,sequence,short_short,148,4.12506301400727e-10,79.23157577369935,9.873250216714556,626.9694125597749
Foreperiod_Sub2,sequence,short_long,138,1.4212316074288757e-09,75.77936790577691,10.73057485321378,591.2165458624743
Foreperiod_Sub2,sequence,long_long,131,-2.8125328790511465e-09,76.17738156339622,9.577729020711736,599.906458312277
Foreperiod_Sub2,sequence,surprise_long,41,7.497563747916939e-09,72.87092876997819,11.080204444831562,571.9010374050478
Foreperiod_Sub2,sequence,short_surprise,39,-1.9210660636256092e-09,84.65165769981868,10.00886280784787,658.6415331267552
Foreperiod_Sub2,sequence,long_surprise,28,-3.6213857222079614e-09,77.89822633019641,16.99460188126371,605.6748656722037
Foreperiod_Sub2,sequence,surprise_short,26,-6.661640137721909e-09,83.38410522733605,19.847894506361296,663.4988588661095
Foreperiod_Sub2,sequence,surprise_surprise,7,7.676679863646569e-09,70.2424607066657,15.52857957818957,532.0589886612556
Sub_05,condition,short,322,-9.887965131748152e-10,26.983133695742318,9.501062170691732,206.5037282536924
Sub_05,condition,long,317,-9.019348545437403e-10,29.13895781920657,9.088762011001924,215.68403487429356
Sub_05,condition,surprise,70,1.5897004776928411e-09,28.055030769286144,11.32780235591553,208.40425292399047
Sub_05,sequence,short_short,153,-5.935252415254875e-10,28.32167116115583,9.628983571754087,220.66700628327615
Sub_05,sequence,long_long,142,-2.209454205990495e-09,28.150721919344466,9.460087937243978,210.197389120112
Sub_05,sequence,short_long,141,-1.248836950179657e-10,29.562178472621827,9.316251348017449,218.8229783262197
Sub_05,sequence,long_short,140,-8.242357455009127e-10,25.649046885041653,9.559656284589781,192.7757095253673
Sub_05,sequence,long_surprise,34,-2.370282227553757e-09,24.735872631585185,12.44712973876288,184.9745351131493
Sub_05,sequence,surprise_long,34,1.3364037534096511e-09,31.511175044173225,12.637219037620685,226.4609499283884
Sub_05,sequence,short_surprise,29,1.7492489093079603e-09,31.952323081888277,15.51957135380939,235.8548091825218
Sub_05,sequence,surprise_short,29,-3.868625797313896e-09,26.361613740219095,15.550298303229633,200.707907740685
Sub_05,sequence,surprise_surprise,7,2.0162915867119334e-08,28.030730714481912,18.94574627562165,211.34058972684443
Sub_06,condition,short,310,1.8086287120532786e-09,53.692325132326054,10.011608619741997,432.48125031555145
Sub_06,condition,long,311,6.658662019461781e-10,49.53216980828392,14.205733264003406,391.8861578155985
Sub_06,condition,surprise,69,9.335854347277595e-10,48.21471017400706,10.543132871461689,383.1457169624047
Sub_06,sequence,short_short,151,3.172224098937881e-09,59.37229655685438,11.400641563221576,479.75619574997967
Sub_06,sequence,long_long,144,4.169672809888685e-10,42.6687940367324,9.823714578342482,334.5471918871682
Sub_06,sequence,long_short,132,6.937092409443799e-10,53.53893205071139,10.675598375394406,430.84405847028137
Sub_06,sequence,short_long,131,-2.9392456456527763e-10,56.782424489695735,25.210727184039424,455.21335487360545
Sub_06,sequence,surprise_long,36,5.154033878419818e-09,50.602801692685915,13.993772174682757,390.8751332337727
Sub_06,sequence,long_surprise,35,-4.167151510958548e-09,49.39630062447448,10.373403680944916,393.1582082105998
Sub_06,sequence,short_surprise,28,6.592791184252646e-09,47.48390588070529,12.212566791119995,375.62778665268775
Sub_06,sequence,surprise_short,27,-3.6668709121788254e-10,22.676480749709725,16.923586723624766,176.3199225982094
Sub_06,sequence,surprise_surprise,6,4.278257409375155e-09,44.732519248355345,23.698728464982914,360.34229331794376
sub-01-foreperiod-12-3,condition,short,334,1.9002560259576885e-10,350.0958296948533,13.306129242641937,2807.212017980518
sub-01-foreperiod-12-3,condition,long,312,-1.747975566744287e-09,351.8400188397874,3.194262454198888,2832.3349275140354
sub-01-foreperiod-12-3,condition,surprise,64,3.803808241376871e-09,368.4027040099489,7.6974238745048815,2963.580101041651
sub-01-foreperiod-12-3,sequence,short_short,158,1.2645474363183034e-09,383.16382344222734,16.02004652464656,3078.5020207122143
sub-01-foreperiod-12-3,sequence,long_short,147,-3.1955351728550933e-10,317.4318127754417,11.244309178086231,2539.0074240018193
sub-01-foreperiod-12-3,sequence,short_long,144,-3.031396880424073e-10,328.80802709473414,4.911225619004004,2652.1752454266925
sub-01-foreperiod-12-3,sequence,long_long,135,-2.2964150707730995e-09,374.8062380503888,5.1843581806441845,3011.34144942662
sub-01-foreperiod-12-3,sequence,surprise_long,33,-5.809097460134726e-09,358.39054059301367,7.26810810847859,2886.9590267363387
sub-01-foreperiod-12-3,sequence,short_surprise,32,9.229409493499404e-10,408.2650323063429,8.542653065692537,3275.4369907904597
sub-01-foreperiod-12-3,sequence,long_surprise,30,5.988068030812812e-09,332.20143620939547,10.719183572392733,2685.2023795843406
sub-01-foreperiod-12-3,sequence,surprise_short,29,-3.0812245645352955e-09,335.50505297307524,17.629554942956712,2694.1253677376135
sub-01-foreperiod-12-3,sequence,surprise_surprise,2,1.7133790059697174e-08,273.6244682759463,32.75277075983619,2163.4111789184526
